Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Class of Tests on the Tail Index","Extremes","","4","2","10.1023/A:1013925226836","Jana JurečkováJan Picek","2001","http://link.springer.com/article/10.1023/A%3A1013925226836","Article"
"Instituting the marketing concept in a multinational setting: The role of national culture","Journal of the Academy of Marketing Science","","29","3","10.1177/03079459994623","Cheryl NakataK. Sivakumar","2001","http://link.springer.com/article/10.1177/03079459994623","Article"
"Tomographic Imaging of Lg and Sn Propagation in the Middle East","pure and applied geophysics","","158","7","10.1007/PL00001218","E. SandvolK. Al-DameghA. CalvertD. SeberM. BarazangiR. MohamadR. GökN. TürkelliC. Gürbüz","2001","http://link.springer.com/article/10.1007/PL00001218","Article"
"Calibration of the Regional Crustal Waveguide and the Retrieval of Source Parameters Using Waveform Modeling","pure and applied geophysics","","158","7","10.1007/PL00001224","C. K. SaikiaB. B. WoodsH. K. Thio","2001","http://link.springer.com/article/10.1007/PL00001224","Article"
"Studies on the Pathogenicity of Newcastle Disease Virus Isolates in Guinea Fowl","Tropical Animal Health and Production","","33","4","10.1023/A:1010588003281","S. MishraJ.M. KatariaR.L. SahK.C. VermaJ.P. Mishra","2001","http://link.springer.com/article/10.1023/A%3A1010588003281","Article"
"Neighborhood Center Image and Rents","The Journal of Real Estate Finance and Economics","","23","1","10.1023/A:1011112707018","William G. Hardin IIIMarvin L. Wolverton","2001","http://link.springer.com/article/10.1023/A%3A1011112707018","Article"
"Carcinoid tumors of the appendix in children","Pediatric Surgery International","","17","5 - 6","10.1007/s003830000559","G. PelizzoA. La RicciaR. BouvierJ. P. ChappuisA. Franchella","2001","http://link.springer.com/article/10.1007/s003830000559","Article"
"Effect of Season on the Productivity of Camels (Camelus dromedarius and the Prevalence of Their Major Parasites in Eastern Ethiopia","Tropical Animal Health and Production","","33","4","10.1023/A:1010540120119","M. ZelekeT. Bekele","2001","http://link.springer.com/article/10.1023/A%3A1010540120119","Article"
"Regulation of the production of polygalacturonase by Aspergillus terreus","World Journal of Microbiology and Biotechnology","","17","5","10.1023/A:1011918806201","Rosa RuncoAntonio R. NavarroMaría C. Maldonado","2001","http://link.springer.com/article/10.1023/A%3A1011918806201","Article"
"A Preliminary Study on the Carcinogenicity of the Common Fern Onychium contiguum","Veterinary Research Communications","","25","5","10.1023/A:1010650911942","R.K. DawraO.P. SharmaR. Somvanshi","2001","http://link.springer.com/article/10.1023/A%3A1010650911942","Article"
"Iterative Stokes Solvers in the Harmonic Velte Subspace","Computing","","67","1","10.1007/s006070170014","Gisbert Stoyan","2001","http://link.springer.com/article/10.1007/s006070170014","Article"
"Enterovirus antibody levels during the first two years of life  in prediabetic autoantibody-positive children","Diabetologia","","44","7","10.1007/s001250100560","K. SadeharjuM. LönnrotT. KimpimäkiK. SavolaS. ErkkiläT. KalliokoskiP. SavolainenP. KoskelaJ. IlonenO. SimellM. KnipH. Hyöty","2001","http://link.springer.com/article/10.1007/s001250100560","Article"
"On the valuation of goods and selection of the best design alternative","Research in Engineering Design","","13","1","10.1007/s001630100004","H. CookA. Wu","2001","http://link.springer.com/article/10.1007/s001630100004","Article"
"A Fast and Reliable Method for Surface Wave Tomography","pure and applied geophysics","","158","8","10.1007/PL00001225","M. P. BarminM. H. RitzwollerA. L. Levshin","2001","http://link.springer.com/article/10.1007/PL00001225","Article"
"Inferences about predictable events: eye movements during reading","Psychological Research","","65","3","10.1007/s004260000050","Manuel G. CalvoEnrique MeseguerManuel Carreiras","2001","http://link.springer.com/article/10.1007/s004260000050","Article"
"A Device for Determining the Adhesion of Medicinal Films in vitro","Pharmaceutical Chemistry Journal","","35","8","10.1023/A:1013744608820","P. G. MizinaV. A. KurkinM. A. ByakovP. P. Purygin","2001","http://link.springer.com/article/10.1023/A%3A1013744608820","Article"
"Automated Detection, Extraction, and Measurement of Regional Surface Waves","pure and applied geophysics","","158","8","10.1007/PL00001233","A. L. LevshinM. H. Ritzwoller","2001","http://link.springer.com/article/10.1007/PL00001233","Article"
"On Study of Influences of Loading Rate on Fractal Dimensions of Fracture Surfaces in Gabbro","Rock Mechanics and Rock Engineering","","34","3","10.1007/s006030170011","Z. X. ZhangJ. YuS. Q. KouP.-A. Lindqvist","2001","http://link.springer.com/article/10.1007/s006030170011","Article"
"Assessing value in platformed product family design","Research in Engineering Design","","13","1","10.1007/s001630100001","Javier P. Gonzalez-ZugastiKevin N. OttoJohn D. Baker","2001","http://link.springer.com/article/10.1007/s001630100001","Article"
"Rabbit antithymocyte globulin versus  OKT3 induction therapy after heart-lung and lung transplantation:  effect on survival, rejection, infection,  and obliterative bronchiolitis","Transplant International","","14","4","10.1007/s001470100314","C. W. BarlowMarc R. MoonG. Randall GreenP. GambergJames TheodoreBruce A. ReitzRobert C. Robbins","2001","http://link.springer.com/article/10.1007/s001470100314","Article"
"Isozyme evidence of the parental origin and possible fertility of the hybrid Potamogeton×fluitans Roth","Plant Systematics and Evolution","","229","1 - 2","10.1007/s006060170017","J. B. FantC. D. PrestonJ. A. Barrett","2001","http://link.springer.com/article/10.1007/s006060170017","Article"
"Fault-plane Solutions Determined by Waveform Modeling Confirm Tectonic Collision in the Eastern Adriatic","pure and applied geophysics","","158","9 - 10","10.1007/PL00001236","E. LouvariA. KiratziB. PapazachosP. Hatzidimitriou","2001","http://link.springer.com/article/10.1007/PL00001236","Article"
"Modelling of Seismic Ground Motion in Santiago de Cuba City from Earthquakes in Oriente Fault Seismic Zone","pure and applied geophysics","","158","9 - 10","10.1007/PL00001242","L. AlvarezG. F. PanzaF. VaccariB. E. González","2001","http://link.springer.com/article/10.1007/PL00001242","Article"
"Extrapolation of Rainflow Matrices","Extremes","","4","3","10.1023/A:1015277305308","Pär JohannessonJean-Jacques Thomas","2001","http://link.springer.com/article/10.1023/A%3A1015277305308","Article"
"CT during selective arteriography: anatomical assessment of unruptured intracranial aneurysms before endovascular treatment","Neuroradiology","","43","9","10.1007/s002340100562","M. NomuraS. KidaN. UchiyamaJ. SanadaJ. YoshikawaT. YamashimaJ. YamashitaO. Matsui","2001","http://link.springer.com/article/10.1007/s002340100562","Article"
"Should Tougher Basic Skills Requirements Be Viewed as a Means of Strengthening the Teaching Force?","Journal of Personnel Evaluation in Education","","15","3","10.1023/A:1012700708927","David M. MemoryRichard L. AntesNoble R. CoreyDavid E. Chaney","2001","http://link.springer.com/article/10.1023/A%3A1012700708927","Article"
"Inguinal tensile strength and pain level after Shouldice repair","Hernia","","5","3","10.1007/s100290100025","Ch. PeiperK. JungeA. FütingP. BassalaýJ. ConzeV. Schumpelick","2001","http://link.springer.com/article/10.1007/s100290100025","Article"
"A Web-based tool and a heuristic method for cooperation of manufacturing supply chain decisions","Journal of Intelligent Manufacturing","","12","5 - 6","10.1023/A:1012296203032","D. LiA. McKayA. de PenningtonC. Barnes","2001","http://link.springer.com/article/10.1023/A%3A1012296203032","Article"
"The Use of Antigen-capture Enzyme-linked Immunosorbent Assay (ELISA) for the Diagnosis of Rinderpest and Peste des Petits Ruminants in Ethiopia","Tropical Animal Health and Production","","33","5","10.1023/A:1010547907730","G. AbrahamA. Berhan","2001","http://link.springer.com/article/10.1023/A%3A1010547907730","Article"
"Using sediment chemistry to determine the impact of treated wastewater discharge on a natural wetland in New Zealand","Environmental Geology","","40","11 - 12","10.1007/s002540100322","C. Chagué-GoffM. Rosen","2001","http://link.springer.com/article/10.1007/s002540100322","Article"
"The Growth Performance of Indigenous Kenyan Chickens Fed Diets Containing Different Levels of Protein during Rearing","Tropical Animal Health and Production","","33","5","10.1023/A:1010552008639","J.M. NdegwaR. MeadP. NorrishC.W. KimaniA.M. Wachira","2001","http://link.springer.com/article/10.1023/A%3A1010552008639","Article"
"Random mutagenesis and use of 2-deoxy-D-glucose as an antimetabolite for selection of α-amylase-overproducing mutants of Aspergillus oryzae","World Journal of Microbiology and Biotechnology","","17","7","10.1023/A:1012928707998","Mehrdad AzinElham Noroozi","2001","http://link.springer.com/article/10.1023/A%3A1012928707998","Article"
"Synchronised Web Applications for Product Development in the 21st Century","The International Journal of Advanced Manufacturing Technology","","18","8","10.1007/PL00003961","G. Q. HuangS. W. LeeK. L. Mak","2001","http://link.springer.com/article/10.1007/PL00003961","Article"
"GSTP1 polymorphisms and gastric cancer in a high-risk Chinese population","Cancer Causes & Control","","12","8","10.1023/A:1011261602940","Veronica Wendy SetiawanZuo-Feng ZhangGuo-Pei YuQing-Yi LuYong-Liang LiMing-Lan LuMing-Rong WangChun Hua GuoShun-Zhang YuRobert C KurtzChung-Cheng Hsieh","2001","http://link.springer.com/article/10.1023/A%3A1011261602940","Article"
"Further Evidence on the Information Content of Bank Examination Ratings: A Study of BHC-to-FHC Conversion Applications","Journal of Financial Services Research","","20","2 - 3","10.1023/A:1012468209157","Linda AllenJulapa JagtianiJames T. Moser","2001","http://link.springer.com/article/10.1023/A%3A1012468209157","Article"
"Transmission of Cowdria ruminantium by Amblyomma gemma from Infected African Buffalo (Syncerus caffer) and Eland (Taurotragus oryx) to sheep","Tropical Animal Health and Production","","33","5","10.1023/A:1010539705913","F.D. WesongaS.W. MukolweJ. Grootenhuis","2001","http://link.springer.com/article/10.1023/A%3A1010539705913","Article"
"Combining the Analytic Hierarchy Process and Quality Function Deployment for a Location Decision from a Requirement Perspective","The International Journal of Advanced Manufacturing Technology","","18","11","10.1007/s001700170010","P.-T. Chuang","2001","http://link.springer.com/article/10.1007/s001700170010","Article"
"Using WinWin Quality Requirements Management Tools: A Case Study","Annals of Software Engineering","","11","1","10.1023/A:1012547320602","Hoh InBarry W. Boehm","2001","http://link.springer.com/article/10.1023/A%3A1012547320602","Article"
"Implementation of Adaptive Fuzzy Control for a Real-Time Control Demo-Model","Real-Time Systems","","21","3","10.1023/A:1011180104228","Da Ruan","2001","http://link.springer.com/article/10.1023/A%3A1011180104228","Article"
"Pricing Implications of U.S.' International Settlements Policy","Journal of Regulatory Economics","","20","3","10.1023/A:1011167009990","John Agyei Karikari","2001","http://link.springer.com/article/10.1023/A%3A1011167009990","Article"
"What Do We Know about Success and Failure of Mergers?","Journal of Industry, Competition and Trade","","1","4","10.1023/A:1019521325295","Gunther Tichy","2001","http://link.springer.com/article/10.1023/A%3A1019521325295","Article"
"Product Line Design for Profit Maximization Using Common Parts, Features and Manufacturing Facilities","OPSEARCH","","38","6","10.1007/BF03398662","Lakshman S. ThakurSuresh K. NairKuang-Wei Wen","2001","http://link.springer.com/article/10.1007/BF03398662","Article"
"High Variability of HTLV-I in a Remote Population of Gabon as Compared to that of a Similar Population of French Guiana","Virus Genes","","23","3","10.1023/A:1012513121028","D. MoynetJ.F. PouliquenD. Londos-GagliardiR.P. BuiguesJ.F. MoreauI. BedjabagaM.C. GeorgesA. TalarminM. JoubertH. FleuryP. VincendeauB. Guillemain","2001","http://link.springer.com/article/10.1023/A%3A1012513121028","Article"
"Systemic administration of LPD prepared with CpG oligonucleotides inhibits the growth of established pulmonary metastases by stimulating innate and acquired antitumor immune responses","Cancer Immunology, Immunotherapy","","50","10","10.1007/s002620100227","Mark M. WhitmoreSong LiLouis FaloLeaf Huang","2001","http://link.springer.com/article/10.1007/s002620100227","Article"
"Interleukin-2-Dependent but not Independent T-Cell Lines Infected with Human T-Cell Leukemia Virus Type 1 Selectively Express CD45RO, a Marker for Persistent Infection in vivo","Virus Genes","","23","3","10.1023/A:1012565105098","Hiroshi MoroKousuke IwaiNaoki MoriMasami WatanabeMasaya FukushiMasayasu OieMasaaki AraiYuetsu TanakaToshio MiyawakiFumitake GejyoMasaaki ArakawaMasahiro Fujii","2001","http://link.springer.com/article/10.1023/A%3A1012565105098","Article"
"Merger and Acquisitions as Adjustment Processes","Journal of Industry, Competition and Trade","","1","4","10.1023/A:1019518909366","J. Fred Weston","2001","http://link.springer.com/article/10.1023/A%3A1019518909366","Article"
"Antimatter. Past, present and future","La Rivista del Nuovo Cimento","","24","12","10.1007/BF03548903","A. Zichichi","2001","http://link.springer.com/article/10.1007/BF03548903","Article"
"The Middle Class Consensus and Economic Development","Journal of Economic Growth","","6","4","10.1023/A:1012786330095","William Easterly","2001","http://link.springer.com/article/10.1023/A%3A1012786330095","Article"
"Detection of sinusoidal gratings by pattern-specific detectors: further evidence for the correlation principle in human vision","Biological Cybernetics","","85","6","10.1007/s004220000236","G. Meinhardt","2001","http://link.springer.com/article/10.1007/s004220000236","Article"
"Glass inclusions and melt volatile contents at Parícutin Volcano, Mexico","Contributions to Mineralogy and Petrology","","142","3","10.1007/s004100100293","James F. Luhr","2001","http://link.springer.com/article/10.1007/s004100100293","Article"
"Extreme Value Analysis of a Large Designed Experiment: A Case Study in Bulk Carrier Safety","Extremes","","4","4","10.1023/A:1016544112941","Janet E. HeffernanJonathan A. Tawn","2001","http://link.springer.com/article/10.1023/A%3A1016544112941","Article"
"The use of ribosomal ITS to determine phylogenetic relationships within Sorghum","Plant Systematics and Evolution","","230","1 - 2","10.1007/s006060170007","S. L. DillonP. K. LawrenceR. J. Henry","2001","http://link.springer.com/article/10.1007/s006060170007","Article"
"Sucrose-phosphate phosphatase from Anabaena sp. strain PCC 7120: isolation of the protein and gene revealed significant structural differences from the higher-plant enzyme","Planta","","214","2","10.1007/s004250100608","Andrea CuminoCarla EkerothGraciela L. Salerno","2001","http://link.springer.com/article/10.1007/s004250100608","Article"
"The Limits of Mobilization: Turnout Evidence from State House Primaries","Political Behavior","","23","4","10.1023/A:1015461422528","David Niven","2001","http://link.springer.com/article/10.1023/A%3A1015461422528","Article"
"2-D Modeling of Site Effects Along the EURO-SEISTEST Array (Volvi Graben, Greece)","pure and applied geophysics","","158","12","10.1007/PL00001175","F. MarraraP. Suhadolc","2001","http://link.springer.com/article/10.1007/PL00001175","Article"
"The Bootstrap Methodology in Statistics of Extremes—Choice of the Optimal Sample Fraction","Extremes","","4","4","10.1023/A:1016592028871","M. Ivette GomesOrlando Oliveira","2001","http://link.springer.com/article/10.1023/A%3A1016592028871","Article"
"Enabling BPR in Maintenance Through a Performance Measurement System Framework","International Journal of Flexible Manufacturing Systems","","14","1","10.1023/A:1013870802492","K. Y. KutucuogluJ. HamaliJ. M. SharpZ. Irani","2002","http://link.springer.com/article/10.1023/A%3A1013870802492","Article"
"Book Reviews","IIE Transactions","","34","1","10.1023/A:1019201500438","","2002","http://link.springer.com/article/10.1023/A%3A1019201500438","Article"
"Seasonal Seismicity of Northern California Before the Great 1906 Earthquake","pure and applied geophysics","","159","1 - 3","10.1007/PL00001268","R. Westaway","2002","http://link.springer.com/article/10.1007/PL00001268","Article"
"A strategic framework for the selection and evaluation of e-business models within supply chains","Operational Research","","2","1","10.1007/BF02940120","Jessica HoNick BoughtonDennis Kehoe","2002","http://link.springer.com/article/10.1007/BF02940120","Article"
"An AP-1 Binding Site Mutation in HPV-16 LCR Enhances E6/E7 Promoter Activity in Human Oral Epithelial Cells","Virus Genes","","24","1","10.1023/A:1014081803232","Yanna LiuJun Z. LiXiao H. YuanKaren Adler-StorthzZhuo Chen","2002","http://link.springer.com/article/10.1023/A%3A1014081803232","Article"
"Detection of Fowl Adenovirus Associated With Hydropericardium Hepatitis Syndrome by a Polymerase Chain Reaction","Veterinary Research Communications","","26","1","10.1023/A:1013361906791","K. GaneshV.V.S. SuryanarayanaR. Raghavan","2002","http://link.springer.com/article/10.1023/A%3A1013361906791","Article"
"Moment Tensor Inversion of Regional Phases: Application to a Mine Collapse","pure and applied geophysics","","159","1 - 3","10.1007/PL00001246","V. TeyssoneyreB. FeignierJ. ŠilényO. Coutant","2002","http://link.springer.com/article/10.1007/PL00001246","Article"
"The Ovarian Gonadotropin Receptors in Health and Disease","Reviews in Endocrine and Metabolic Disorders","","3","1","10.1023/A:1012752819058","Paul A. FowlerIlpo T. Huhtaniemi","2002","http://link.springer.com/article/10.1023/A%3A1012752819058","Article"
"Mortgage Contracts, Strategic Options and Stochastic Collateral","The Journal of Real Estate Finance and Economics","","24","1 - 2","10.1023/A:1013978220662","Robert A. JonesDavid Nickerson","2002","http://link.springer.com/article/10.1023/A%3A1013978220662","Article"
"Superficial Femoral-Popliteal Vein as a Conduit for Brachiocephalic Arterial Reconstructions","Annals of Vascular Surgery","","16","1","10.1007/s10016-001-0142-4","J. Gregory ModrallDonald R. JoinerScott A. SeidelMark R. JacksonR. James ValentineG. Patrick Clagett","2002","http://link.springer.com/article/10.1007/s10016-001-0142-4","Article"
"Two tightly linked QTLs modify tomato sugar content via different physiological pathways","Molecular Genetics and Genomics","","266","5","10.1007/s00438-001-0599-4","E. FridmanY. LiuL. Carmel-GorenA. GurM. ShoreshT. PlebanY. EshedD. Zamir","2002","http://link.springer.com/article/10.1007/s00438-001-0599-4","Article"
"Detailed Fracture System of the Soultz-sous-Forêts HDR Field Evaluated Using Microseismic Multiplet Analysis","pure and applied geophysics","","159","1 - 3","10.1007/PL00001263","H. MoriyaK. NakazatoH. NiitsumaR. Baria","2002","http://link.springer.com/article/10.1007/PL00001263","Article"
"Guest Editorial: Business Process Reengineering: An Analysis Perspective","International Journal of Flexible Manufacturing Systems","","14","1","10.1023/A:1013868430717","Zahir IraniVlatka HlupicGeorge M. Giaglis","2002","http://link.springer.com/article/10.1023/A%3A1013868430717","Article"
"The Deregulatory Tar Baby: The Precarious Balance Between Regulation and Deregulation, 1970–2000 and Henceforward","Journal of Regulatory Economics","","21","1","10.1023/A:1013674607038","Alfred E. Kahn","2002","http://link.springer.com/article/10.1023/A%3A1013674607038","Article"
"Direct current (DC) resistivity measurements in long-term groundwater monitoring programmes","Environmental Geology","","41","6","10.1007/s00254-001-0447-1","J. AaltonenB. Olofsson","2002","http://link.springer.com/article/10.1007/s00254-001-0447-1","Article"
"Prevalence and Aetiology of Mastitis in Cows from Two Major Ethiopian Dairies","Tropical Animal Health and Production","","34","1","10.1023/A:1013729626377","S. WorkinehM. BayleyegnH. MekonnenL.N.D. Potgieter","2002","http://link.springer.com/article/10.1023/A%3A1013729626377","Article"
"Toxicity of argemone oil: Effect on hsp70expression and tissue damage in transgenic Drosophila melanogaster(hsp70-lacZ) Bg
                     9","Cell Biology and Toxicology","","18","1","10.1023/A:1014433711554","I. MukhopadhyayA. NazirK. MahmoodD.K. SaxenaM. DasS.K. KhannaD.K. Chowdhuri","2002","http://link.springer.com/article/10.1023/A%3A1014433711554","Article"
"Integrating Design for Environment (DfE) Impact Matrix into Quality Function Deployment (QFD) Process","The Journal of Sustainable Product Design","","2","1 - 2","10.1023/B:JSPD.0000016418.79201.e7","Mansour RahimiMerrill Weidner","2002","http://link.springer.com/article/10.1023/B%3AJSPD.0000016418.79201.e7","Article"
"Phylogenetic relationships in Rosaceae inferred from chloroplast matK and trnL-trnF nucleotide sequence data","Plant Systematics and Evolution","","231","1 - 4","10.1007/s006060200012","D. PotterF. GaoP. Esteban BortiriS.-H. OhS. Baggett","2002","http://link.springer.com/article/10.1007/s006060200012","Article"
"Development of product design requirements using taxonomies of environmental issues","Research in Engineering Design","","13","2","10.1007/s00163-001-0009-2","Kristen S. RoundsJoyce S. Cooper","2002","http://link.springer.com/article/10.1007/s00163-001-0009-2","Article"
"Toward the ideal mechanical engineering design support system","Research in Engineering Design","","13","2","10.1007/s00163-001-0007-4","David G. Ullman","2002","http://link.springer.com/article/10.1007/s00163-001-0007-4","Article"
"Peroperative analysis of the surgical procedure","Surgical Endoscopy And Other Interventional Techniques","","16","3","10.1007/s00464-001-8216-5","K.T. den BoerJ. DankelmanD.J. GoumaH.G. Stassen","2002","http://link.springer.com/article/10.1007/s00464-001-8216-5","Article"
"Molecular Indications for In Vivo Integration of the Avian Leukosis Virus, Subgroup J-long Terminal Repeat into the Marek's Disease Virus in Experimentally Dually-Infected Chickens","Virus Genes","","24","2","10.1023/A:1014528818179","I. DavidsonR. BorenshtainH.-J. KungR.L. Witter","2002","http://link.springer.com/article/10.1023/A%3A1014528818179","Article"
"The limited incorporation of economic analyses in clinical practice guidelines","Journal of General Internal Medicine","","17","3","10.1046/j.1525-1497.2002.10522.x","Joel F. Wallace PharmD, MPH, MBAScott R. Weingarten MD, MPHChiun-Fang Chiou PhDJames M. Henning MSAndriana A. Hohlbauch MPHMargaret S. Richards PhDNicole S. Herzog MDLior S. LewensztainDr. Joshua J. Ofman MD, MSHS","2002","http://link.springer.com/article/10.1046/j.1525-1497.2002.10522.x","Article"
"A statistical evaluation of non-ergodic variogram estimators","Environmental and Ecological Statistics","","9","1","10.1023/A:1013771109591","Frank C. CurrieroMichael E. HohnAndrew M. LiebholdSubhash R. Lele","2002","http://link.springer.com/article/10.1023/A%3A1013771109591","Article"
"Models for Stationary Max-Stable Random Fields","Extremes","","5","1","10.1023/A:1020977924878","Martin Schlather","2002","http://link.springer.com/article/10.1023/A%3A1020977924878","Article"
"Surveying Infrasonic Noise on Oceanic Islands","pure and applied geophysics","","159","5","10.1007/s00024-002-8675-1","M. A. H. HedlinJ. BergerF. L. Vernon","2002","http://link.springer.com/article/10.1007/s00024-002-8675-1","Article"
"Environment-cost analysis diagram of a waste product for the identification and prioritisation of product elements requiring improvement and its application to a waste refrigerator","The Journal of Sustainable Product Design","","2","1 - 2","10.1023/B:JSPD.0000016455.05614.ad","Jong-Soo HwangYoung-Chai HeoKun-Mo Lee","2002","http://link.springer.com/article/10.1023/B%3AJSPD.0000016455.05614.ad","Article"
"Antigenic Relationships within the Genus Salmonella as Revealed by Anti-Salmonella enteritidis Monoclonal Antibodies","Veterinary Research Communications","","26","3","10.1023/A:1015249520170","M. MalikG. ButchaiahM.P. BansalM.Z. SiddiquiC.S. BakshiR.K. Singh","2002","http://link.springer.com/article/10.1023/A%3A1015249520170","Article"
"Approximate Estimation of the Product Life Cycle Cost Using Artificial Neural Networks in Conceptual Design","The International Journal of Advanced Manufacturing Technology","","19","6","10.1007/s001700200049","K.-K. SeoJ.-H. ParkD.-S. JangD. Wallace","2002","http://link.springer.com/article/10.1007/s001700200049","Article"
"Cold Collisions of Electrons with Molecules","Few-Body Systems","","31","2 - 4","10.1007/s006010200020","D. FieldN. C. JonesJ.-P. ZieselT. A. Field","2002","http://link.springer.com/article/10.1007/s006010200020","Article"
"On the Generation of ULF Magnetic Variations by Conductivity Fluctuations in a Fault Zone","pure and applied geophysics","","159","6","10.1007/s00024-002-8678-y","G. D. Egbert","2002","http://link.springer.com/article/10.1007/s00024-002-8678-y","Article"
"Private and Public Information in Self-fulfilling Currency Crises","Journal of Economics","","76","1","10.1007/s712-002-8221-x","Christina E. Metz","2002","http://link.springer.com/article/10.1007/s712-002-8221-x","Article"
"A New Conceptual Approach to the Design of Hybrid Control Architecture for Autonomous Mobile Robots","Journal of Intelligent and Robotic Systems","","34","1","10.1023/A:1015522622034","H. YavuzA. Bradshaw","2002","http://link.springer.com/article/10.1023/A%3A1015522622034","Article"
"Cell Fusion Generates an Inhomogeneous Distribution of Elasticity and Rigidity in Plasma Membranes","The Journal of Membrane Biology","","187","1","10.1007/s00232-001-0148-4","M. Baumann","2002","http://link.springer.com/article/10.1007/s00232-001-0148-4","Article"
"The Flooding Time in Random Graphs","Extremes","","5","2","10.1023/A:1022175620150","Remco Van Der HofstadGerard HooghiemstraPiet van Mieghem","2002","http://link.springer.com/article/10.1023/A%3A1022175620150","Article"
"Gene Transfer to Fish Cells by Attenuated Invasive Escherichia coli","Marine Biotechnology","","4","3","10.1007/s10126-002-0022-0","Benjamin E. SimonJo-Ann C. Leong","2002","http://link.springer.com/article/10.1007/s10126-002-0022-0","Article"
"A novel disassembly tool with screwnail endeffectors","Journal of Intelligent Manufacturing","","13","3","10.1023/A:1015778621008","Bing-Ran ZuoAlexander StenzelGünther Seliger","2002","http://link.springer.com/article/10.1023/A%3A1015778621008","Article"
"Viral Evolution and Emerging Viral Infections: What Future for the Viruses? A Theoretical Evaluation Based on Informational Spaces and Quasispecies","Virus Genes","","24","3","10.1023/A:1015384700997","Hugues TolouJean NicoliClaude Chastel","2002","http://link.springer.com/article/10.1023/A%3A1015384700997","Article"
"Twin Engines of Growth: Skills and Technology as Equal Partners in Balanced Growth","Journal of Economic Growth","","7","2","10.1023/A:1015633528122","Huw Lloyd-EllisJoanne Roberts","2002","http://link.springer.com/article/10.1023/A%3A1015633528122","Article"
"On Exponential Representations of Log-Spacings of Extreme Order Statistics","Extremes","","5","2","10.1023/A:1022171205129","J. BeirlantG. DierckxA. GuillouC. Staăricaă","2002","http://link.springer.com/article/10.1023/A%3A1022171205129","Article"
"New Isothermal Titration Calorimeter for Investigations on Very Small Samples. Theoretical and experimental studies","Journal of Thermal Analysis and Calorimetry","","68","3","10.1023/A:1016165817003","G. V. KotelnikovS. P. MoiseyevaE. V. MezhburdV. P. Krayev","2002","http://link.springer.com/article/10.1023/A%3A1016165817003","Article"
"Application of artificial neural network and fuzzy logic in a case-based system for initial process parameter setting of injection molding","Journal of Intelligent Manufacturing","","13","3","10.1023/A:1015730705078","S. L. MokC. K. Kwong","2002","http://link.springer.com/article/10.1023/A%3A1015730705078","Article"
"Demographic Influences on Psychiatric Diagnoses Among Youth Served in California Systems of Care","Journal of Child and Family Studies","","11","2","10.1023/A:1015173508474","Winnie MakAbram Rosenblatt","2002","http://link.springer.com/article/10.1023/A%3A1015173508474","Article"
"An exploratory investigation of user involvement in new service development","Journal of the Academy of Marketing Science","","30","3","10.1177/0092070302303006","Ian Alam","2002","http://link.springer.com/article/10.1177/0092070302303006","Article"
"Effect of Stock QuaLity on Finished Fibre Indexes","Fibre Chemistry","","34","4","10.1023/A:1021001200303","E. V. BekishevaO. A. KolmakovaV. V. LevshinaN. L. ZubakhinaT. A. Maslova","2002","http://link.springer.com/article/10.1023/A%3A1021001200303","Article"
"HASoC—Towards a New Method for System-on-a-Chip Development","Design Automation for Embedded Systems","","6","4","10.1023/A:1016599225218","Peter GreenMartyn EdwardsSalah Essa","2002","http://link.springer.com/article/10.1023/A%3A1016599225218","Article"
"Optimizing modular product design for reconfigurable manufacturing","Journal of Intelligent Manufacturing","","13","4","10.1023/A:1016032714680","Ahmet S. YigitA. Galip UlsoyAli Allahverdi","2002","http://link.springer.com/article/10.1023/A%3A1016032714680","Article"
"Wireless User Perspectives in Europe: HandSmart Mediaphone Interface","Wireless Personal Communications","","22","2","10.1023/A:1019960305038","Peter AntoniacPetri PulliTomohiro KurodaDan BendasSeamus HickeyHiroshi Sasaki","2002","http://link.springer.com/article/10.1023/A%3A1019960305038","Article"
"Force generation by polymerizing microtubules","Applied Physics A","","75","2","10.1007/s003390201342","M. DogteromM.E. JansonC. Faivre-MoskalenkoA. van der HorstJ.W.J. KerssemakersC. TanaseB.M. Mulder","2002","http://link.springer.com/article/10.1007/s003390201342","Article"
"Effects of Lead on 4-Aminobiphenyl Pharmacokinetics in Liver, Kidney, Spleen, Testes, Heart, Lung and Hemoglobin Adduct for Rat Model","Ecotoxicology","","11","4","10.1023/A:1016396121312","Hui-Ming ChenTao QinLi-Xin ZhaoXiao-Bai Xu","2002","http://link.springer.com/article/10.1023/A%3A1016396121312","Article"
"The Ethical Dimension of Leadership in the Programmes of Total Quality Management","Journal of Business Ethics","","39","1 - 2","10.1023/A:1016327916711","Ginés Santiago Marco Perles","2002","http://link.springer.com/article/10.1023/A%3A1016327916711","Article"
"SPI Models: What Characteristics are Required for Small Software Development Companies?","Software Quality Journal","","10","2","10.1023/A:1020519822806","Ita Richardson","2002","http://link.springer.com/article/10.1023/A%3A1020519822806","Article"
"Kinetically Different Populations of O-Pyromellityl-Gramicidin Channels Induced by Poly-L-Lysines in Lipid Bilayers","The Journal of Membrane Biology","","189","2","10.1007/s00232-002-1007-7","A.V. KrylovT.I. RokitskayaE.A. KotovaA.A. YaroslavovY.N. Antonenko","2002","http://link.springer.com/article/10.1007/s00232-002-1007-7","Article"
